,song_id,song,artist,lyrics,views,genre,acutal_lyrics
20,3095483,Bodak Yellow,Cardi B,https://genius.com/Cardi-b-bodak-yellow-lyrics,8254934,Rap,"['KSR', ""Said Lil' bitch you can't fuck with me if you wanted to"", 'These expensive these is red bottoms these is bloody shoes', ""Hit the store I can get 'em both I don't wanna choose"", ""And I'm quick cut a nigga off so don't get comfortable look"", ""I don't dance now I make money moves Ayy ayySay I don't gotta dance I make money move"", ""If I see you and I don't speak that means I don't fuck with youI'm a boss you a worker bitch I make bloody moves"", ""You in the club just to party I'm there I get paid a fee"", 'Dropped two mixtapes in six monthsWhat bitch working as hard as me', 'Look I might just chill in some BAPE', 'I might just chill with your boo I might just feel on your babe', ""I'll let him get what he want he buy me Yves Saint Laurent"", 'And the new whip when I go fast as a horseI got the trunk in the front Vroom vroom', ""I'm the hottest in the street know you prolly heard of me"", ""Got a bag and fixed my teeth hope you hoes know it ain't cheap"", ""And I pay my mama bills I ain't got no time to chill"", 'Think these hoes be mad at me their baby father run a bill']"
21,3430186,SAD!,XXXTENTACION,https://genius.com/Xxxtentacion-sad-lyrics,8221662,R&B,"[""Who am I Someone that's afraid to let go uhYou decide if you're ever gonna let me know Yeah"", ""Who am I Someone that's afraid to let go uhYou decide if you're ever gonna let me know Yeah"", ""I gave her everythingShe took my heart and left me lonelyI think broken heart's contagiousI won't fix I'd rather weep"", ""I'm lost then I'm found"", ""But it's torture bein' in love"", ""I love when you're aroundBut I fuckin' hate when you leave"", ""Who am I Someone that's afraid to let go uhYou decide if you're ever gonna let me know Yeah"", ""Who am I Someone that's afraid to let go uhYou decide if you're ever gonna let me know Yeah""]"
22,3352793,Shallow,Lady Gaga & Bradley Cooper,https://genius.com/Lady-gaga-and-bradley-cooper-shallow-lyrics,8209393,Soft Rock,"[""Tell me somethin' girlAre you happy in this modern worldOr do you need moreIs there somethin' else you're searchin' for"", ""I'm fallin'In all the good times I find myself longin'For changeAnd in the bad times I fear myself"", ""Tell me something boyAren't you tired tryna fill that voidOr do you need moreAin't it hard keepin' it so hardcore"", ""I'm off the deep end watch as I dive inI'll never meet the groundCrash through the surface where they can't hurt usWe're far from the shallow now""]"
23,4067762,7 rings,Ariana Grande,https://genius.com/Ariana-grande-7-rings-lyrics,8193871,Rap,"['Verse 1', ""Yeah breakfast at Tiffany's and bottles of bubbles"", 'Girls with tattoos who like getting in trouble', 'Lashes and diamonds ATM machinesBuy myself all of my favorite things Yeah', 'Been through some bad shit I should be a sad bitch', ""Who woulda thought it'd turn me to a savage"", 'Rather be tied up with calls and not strings', 'Write my own checks like I write what I sing yeah Yeah', ""My wrist stop watchin' my neck is flossy"", ""Make big deposits my gloss is poppin'"", 'You like my hair Gee thanks just bought it', 'I see it I like it I want it I got it Yeah', 'I want it I got it I want it I got itI want it I got it I want it I got it', 'You like my hair Gee thanks just bought it', 'I see it I like it I want it I got it Yep', 'Verse 2', ""Wearing a ring but ain't gon' be no Mrs."", 'Bought matching diamonds for six of my bitches', ""I'd rather spoil all my friends with my riches"", 'Think retail therapy my new addiction', ""They say Which one I say Nah I want all of 'em"", 'Happiness is the same price as redbottoms']"
24,93539,Fuckin’ Problems,"A$AP Rocky (Ft. 2 Chainz, Drake & Kendrick Lamar)",https://genius.com/A-ap-rocky-fuckin-problems-lyrics,7987931,Hip-Hop,"[""I love bad bitches that's my fuckin' problem ProblemAnd yeah I like to fuck I got a fuckin' problem ProblemI love bad bitches that's my fuckin' problem ProblemAnd yeah I like to fuck I got a fuckin' problem ProblemI love bad bitches that's my fuckin' problem ProblemAnd yeah I like to fuck I got a fuckin' problem Problem"", ""If findin' somebody real is your fuckin' problem"", 'Bring your girls to the crib maybe we can solve it ayy', 'Verse 1 AAP Rocky', 'Make that thing pop like a semi or a nine', 'Ooh baby like it raw with the shimmy shimmy ya huh', 'AAP Yeah get like me Uh', 'Never met a motherfucker fresh like me YeahAll these motherfuckers wanna dress like me Uh', ""Cause I'm the nigga the nigga nigga like how you figure YeahGettin' figures and fuckin' bitches"", ""she rollin' Swishers"", 'She love my licorice I let her lick it Alright', 'They say money make a nigga act niggarish UhBut least a nigga nigga rich', ""I be fuckin' broads like I be fuckin' bored"", ""Turn a dyke bitch out have her fuckin' boys beast""]"
25,3219597,Too Good at Goodbyes,Sam Smith,https://genius.com/Sam-smith-too-good-at-goodbyes-lyrics,7975158,R&B,"[""I'm never gonna let you close to meEven though you mean the most to me'Cause every time I open up it hurtsSo I'm never gonna get too close to youEven when I mean the most to youIn case you go and leave me in the dirt"", ""But every time you hurt me the less that I cryAnd every time you leave me the quicker these tears dryAnd every time you walk out the less I love youBaby we don't stand a chance it's sad but it's trueI'm way too good at goodbyes I'm way too good at goodbyesI'm way too good at goodbyes I'm way too good at goodbyes""]"
26,2970719,Believer,Imagine Dragons,https://genius.com/Imagine-dragons-believer-lyrics,7814595,Rock,"[""First things first I'ma say all the words inside my headI'm fired up and tired of the way that things have been ohoohThe way that things have been ohooh"", ""Second things second don't you tell me what you think that I could beI'm the one at the sail I'm the master of my sea ohoohThe master of my sea ohooh"", ""I was broken from a young age taking my sulkin' to the massesWriting my poems for the few that look at me took to me shook at me feelin' me"", 'Singing from heartache from the pain taking my message from the veinsSpeaking my lesson from the brain seeing the beauty through the', 'Pain You made me a you made me a believer believerPain You break me down you build me up believer believerPain Oh let the bullets fly oh let them rainMy life my love my drive it came fromPain You made me a you made me a believer believer', ""Third things third send a prayer to the ones up aboveAll the hate that you've heard has turned your spirit to a dove ohoohYour spirit up above ohooh""]"
27,3807759,In My Feelings,Drake,https://genius.com/Drake-in-my-feelings-lyrics,7777483,R&B,"[""Kiki do you love me Are you ridingSay you'll never ever leave from beside me'Cause I want ya and I need yaAnd I'm down for you alwaysKB do you love me Are you ridingSay you'll never ever leave from beside me'Cause I want ya and I need yaAnd I'm down for you always"", 'Look the new me is really still the real me', 'I buy you Champagne but you love some Henny', 'From the block like you Jenny']"
28,772,Stan,Eminem (Ft. Dido),https://genius.com/Eminem-stan-lyrics,7722008,Hip-Hop,"['Intro Dido', ""My tea's gone cold I'm wondering why IGot out of bed at allThe morning rain clouds up my window WindowAnd I can't see at all"", 'Chorus Dido', ""My tea's gone cold I'm wondering why IGot out of bed at allThe morning rain clouds up my window WindowAnd I can't see at all"", 'Verse 1 Eminem', ""Dear Slim I wrote you but you still ain't callin'I left my cell my pager and my home phone at the bottomI sent two letters back in autumn you must not've got 'emThere prob'ly was a problem at the post office or somethin'Sometimes I scribble addresses too sloppy when I jot 'em"", ""But anyways fuck it what's been up man How's your daughterMy girlfriend's pregnant too I'm 'bout to be a fatherIf I have a daughter guess what I'ma call her I'ma name her Bonnie"", ""I read about your Uncle Ronnie too I'm sorryI had a friend kill himself over some bitch who didn't want him"", ""I know you prob'ly hear this every day but I'm your biggest fanI even got the underground shit that you did with Skam"", 'I got a room full of your posters and your pictures man', 'I like the shit you did with Rawkus too that shit was phat', 'Anyways I hope you get this man hit me backJust to chat truly yours your biggest fan this is Stan']"
29,90478,m.A.A.d city,Kendrick Lamar (Ft. MC Eiht),https://genius.com/Kendrick-lamar-maad-city-lyrics,7637089,Rap,"['Part I', 'Refrain Kendrick Lamar  ScHoolboy Q', ""If Pirus and Crips all got alongThey'd probably gun me down by the end of this songSeem like the whole city go against meEvery time I'm in the street I hear"", 'Yawk yawk yawk yawk', 'Man down where you from nigga', 'Fuck who you knowwhere you from my nigga', 'Where your grandma stay huh my nigga', 'This m.A.A.d city I run my nigga', 'Verse Kendrick Lamar', ""Brace yourself I'll take you on a trip down memory lane"", ""This is not a rap on how I'm slingin' crack or move cocaineThis is culdesac and plenty Cognac and major painNot the drill sergeant but the stress that weighin' on your brain"", 'It was me L Boog and Yan Yan YG Lucky ride down Rosecrans', ""It got ugly wavin' yo' hand out the window  check yourself"", 'Uh Warriors and Conans', 'the driver seat the first one to get killed', 'Pakistan on every porch is fine', 'we adapt to crimePack a van with four guns at a timeWith the sliding door fuck is up', ""Fuck you shootin' for if you ain't walkin' up you fuckin' punk"", ""Pickin' up the fuckin' pump pickin' off you suckers"", 'Suck a dick or die or sucker punch', ""A wall of bullets comin' from AK's AR's"", ""Ayy y'all duck"", ""That's what mama said when we was eatin' that free lunch"", 'Aw man goddamn all hell broke loose', ""You killed my cousin back in '94 fuck yo' truce"", 'Now crawl your head in that noose', ""You wind up dead on the newsAin't no peace treaty just piecin' BGs up to preapprove"", 'Bodies on top of bodies IVs on top of IVs', 'Obviously the coroner between the sheets like the Isleys', ""When you hop on that trolley make sure your color's correct"", ""Make sure you're corporate or they'll be callin' your mother collect"", 'They say the governor collect all of our taxes except', ""When we in traffic and tragic happens that shit ain't no threat"", ""You movin' backwards if you suggest that you sleep with a TEC"", 'Go buy a chopper and have a doctor on speed dial I guess', 'm.A.A.d. city']"
